PRINCIPLE COMMODITY,COUNTRY,UNIT,QUANTITY,Value(US$ million)
TEA                                               ,AFGHANISTAN,KGS,423549,0.87
TEA                                               ,ALBANIA,KGS,13440,0.07
TEA                                               ,ALGERIA,KGS,36505,0.06
TEA                                               ,ANDORRA,KGS,62,0.00
TEA                                               ,ANGOLA,KGS,92287,0.51
TEA                                               ,ARGENTINA,KGS,102,0.00
TEA                                               ,ARMENIA,KGS,1000,0.01
TEA                                               ,AUSTRALIA,KGS,2876519,15.58
TEA                                               ,AUSTRIA,KGS,15393,0.10
TEA                                               ,AZERBAIJAN,KGS,660255,2.25
TEA                                               ,BAHARAIN IS,KGS,397155,1.70
TEA                                               ,BANGLADESH PR,KGS,415059,1.53
TEA                                               ,BARBADOS,KGS,1000,0.02
TEA                                               ,BELARUS,KGS,2312,0.02
TEA                                               ,BELGIUM,KGS,1201113,3.48
TEA                                               ,BENIN,KGS,190694,1.15
TEA                                               ,BHUTAN,KGS,379745,1.55
TEA                                               ,BOLIVIA,KGS,22332,0.17
TEA                                               ,BOTSWANA,KGS,125,0.00
TEA                                               ,BR VIRGN IS,KGS,0,0.00
TEA                                               ,BRAZIL,KGS,3116,0.11
TEA                                               ,BRUNEI,KGS,7764,0.03
TEA                                               ,BULGARIA,KGS,28849,0.09
TEA                                               ,BURKINA FASO,KGS,165212,1.13
TEA                                               ,CAMBODIA,KGS,2325,0.01
TEA                                               ,CAMEROON,KGS,24679,0.12
TEA                                               ,CANADA,KGS,2820125,15.28
TEA                                               ,CAYMAN IS,KGS,84,0.00
TEA                                               ,CHILE,KGS,1221,0.02
TEA                                               ,CHINA P RP,KGS,5380263,12.60
TEA                                               ,COLOMBIA,KGS,120944,0.20
TEA                                               ,COMOROS,KGS,0,0.00
TEA                                               ,CONGO D. REP.,KGS,23065,0.11
TEA                                               ,CONGO P REP,KGS,20203,0.13
TEA                                               ,COTE D' IVOIRE,KGS,292900,1.87
TEA                                               ,CROATIA,KGS,32810,0.15
TEA                                               ,CUBA,KGS,15,0.00
TEA                                               ,CYPRUS,KGS,5581,0.04
TEA                                               ,CZECH REPUBLIC,KGS,29482,0.37
TEA                                               ,DENMARK,KGS,60435,0.65
TEA                                               ,DJIBOUTI,KGS,576,0.00
TEA                                               ,DOMINICA,KGS,13,0.00
TEA                                               ,ECUADOR,KGS,0,0.00
