PRINCIPLE COMMODITY,COUNTRY,UNIT,QUANTITY,Value(US$ million)
COTTON RAW INCLD. WASTE                           ,AUSTRALIA,TON,82324,285.92
COTTON RAW INCLD. WASTE                           ,AUSTRIA,TON,0,0.00
COTTON RAW INCLD. WASTE                           ,BANGLADESH PR,TON,63422,27.60
COTTON RAW INCLD. WASTE                           ,BELGIUM,TON,48,0.06
COTTON RAW INCLD. WASTE                           ,BELIZE,TON,25,0.09
COTTON RAW INCLD. WASTE                           ,BENIN,TON,1261,4.56
COTTON RAW INCLD. WASTE                           ,BRAZIL,TON,19651,66.33
COTTON RAW INCLD. WASTE                           ,BURKINA FASO,TON,2031,7.32
COTTON RAW INCLD. WASTE                           ,C AFRI REP,TON,497,1.85
COTTON RAW INCLD. WASTE                           ,CAMEROON,TON,9285,31.17
COTTON RAW INCLD. WASTE                           ,CHAD,TON,1266,4.30
COTTON RAW INCLD. WASTE                           ,CHINA P RP,TON,1284,5.17
COTTON RAW INCLD. WASTE                           ,COTE D' IVOIRE,TON,15333,52.48
COTTON RAW INCLD. WASTE                           ,EGYPT A RP,TON,19456,73.68
COTTON RAW INCLD. WASTE                           ,FRANCE,TON,263,0.91
COTTON RAW INCLD. WASTE                           ,GERMANY,TON,1371,5.95
COTTON RAW INCLD. WASTE                           ,GREECE,TON,3162,10.09
COTTON RAW INCLD. WASTE                           ,GUINEA,TON,1000,3.40
COTTON RAW INCLD. WASTE                           ,HONG KONG,TON,280,1.03
COTTON RAW INCLD. WASTE                           ,INDONESIA,TON,456,0.83
COTTON RAW INCLD. WASTE                           ,ISRAEL,TON,1734,9.82
COTTON RAW INCLD. WASTE                           ,ITALY,TON,154,0.92
COTTON RAW INCLD. WASTE                           ,JAPAN,TON,118,0.34
COTTON RAW INCLD. WASTE                           ,KYRGHYZSTAN,TON,0,0.00
COTTON RAW INCLD. WASTE                           ,MALAWI,TON,273,0.87
COTTON RAW INCLD. WASTE                           ,MALI,TON,2320,7.36
COTTON RAW INCLD. WASTE                           ,MAURITANIA,TON,751,2.54
COTTON RAW INCLD. WASTE                           ,MAURITIUS,TON,0,0.00
COTTON RAW INCLD. WASTE                           ,MEXICO,TON,61,0.39
COTTON RAW INCLD. WASTE                           ,MOZAMBIQUE,TON,461,1.21
COTTON RAW INCLD. WASTE                           ,NETHERLAND,TON,4692,14.69
COTTON RAW INCLD. WASTE                           ,NIGERIA,TON,1691,5.13
COTTON RAW INCLD. WASTE                           ,OMAN,TON,661,0.27
COTTON RAW INCLD. WASTE                           ,PHILIPPINES,TON,53,0.09
COTTON RAW INCLD. WASTE                           ,SENEGAL,TON,3813,12.99
COTTON RAW INCLD. WASTE                           ,SINGAPORE,TON,33559,121.94
COTTON RAW INCLD. WASTE                           ,SPAIN,TON,153,0.82
COTTON RAW INCLD. WASTE                           ,SRI LANKA DSR,TON,8,0.01
COTTON RAW INCLD. WASTE                           ,SUDAN,TON,2313,6.34
COTTON RAW INCLD. WASTE                           ,SWITZERLAND,TON,23164,81.29
COTTON RAW INCLD. WASTE                           ,TAIWAN,TON,0,0.00
COTTON RAW INCLD. WASTE                           ,TAJIKISTAN,TON,0,0.00
COTTON RAW INCLD. WASTE                           ,TANZANIA REP,TON,10056,27.87
COTTON RAW INCLD. WASTE                           ,TOGO,TON,5530,18.34
COTTON RAW INCLD. WASTE                           ,TURKEY,TON,2037,6.58
COTTON RAW INCLD. WASTE                           ,U ARAB EMTS,TON,648,2.12
COTTON RAW INCLD. WASTE                           ,U S A,TON,134856,533.88
COTTON RAW INCLD. WASTE                           ,UGANDA,TON,40,0.12
COTTON RAW INCLD. WASTE                           ,VIETNAM SOC REP,TON,40,0.07
VEGETABLE OILS                                    ,ALGERIA,TON,0,0.00
VEGETABLE OILS                                    ,ARGENTINA,TON,2080695,3297.74
VEGETABLE OILS                                    ,AUSTRALIA,TON,0,0.00
VEGETABLE OILS                                    ,BAHARAIN IS,TON,0,0.00
VEGETABLE OILS                                    ,BANGLADESH PR,TON,2128,2.72
VEGETABLE OILS                                    ,BELGIUM,TON,1896,5.50
VEGETABLE OILS                                    ,BENIN,TON,3339,6.23
VEGETABLE OILS                                    ,BRAZIL,TON,1585293,2393.99
VEGETABLE OILS                                    ,BULGARIA,TON,163477,243.75
VEGETABLE OILS                                    ,BURKINA FASO,TON,1082,1.59
VEGETABLE OILS                                    ,CAMBODIA,TON,7471,10.89
VEGETABLE OILS                                    ,CAMEROON,TON,210,0.32
VEGETABLE OILS                                    ,CANADA,TON,0,0.01
VEGETABLE OILS                                    ,CHINA P RP,TON,36,0.49
VEGETABLE OILS                                    ,COTE D' IVOIRE,TON,11810,21.14
VEGETABLE OILS                                    ,CROATIA,TON,440,0.66
VEGETABLE OILS                                    ,CZECH REPUBLIC,TON,0,0.00
VEGETABLE OILS                                    ,DENMARK,TON,0,0.00
VEGETABLE OILS                                    ,EGYPT A RP,TON,0,0.00
VEGETABLE OILS                                    ,FRANCE,TON,552,0.99
VEGETABLE OILS                                    ,GERMANY,TON,935,2.29
VEGETABLE OILS                                    ,GHANA,TON,21,0.03
VEGETABLE OILS                                    ,GREECE,TON,30,0.15
VEGETABLE OILS                                    ,GUINEA,TON,0,0.00
VEGETABLE OILS                                    ,HONG KONG,TON,0,0.00
VEGETABLE OILS                                    ,HUNGARY,TON,252,0.39
VEGETABLE OILS                                    ,INDONESIA,TON,5050757,5639.28
VEGETABLE OILS                                    ,ITALY,TON,1605,5.75
VEGETABLE OILS                                    ,JAPAN,TON,5,0.09
VEGETABLE OILS                                    ,KENYA,TON,149,0.33
VEGETABLE OILS                                    ,KOREA RP,TON,0,0.00
VEGETABLE OILS                                    ,LAO PD RP,TON,0,0.01
VEGETABLE OILS                                    ,LATVIA,TON,20083,41.35
VEGETABLE OILS                                    ,LIBERIA,TON,4417,7.26
VEGETABLE OILS                                    ,LITHUANIA,TON,14328,22.28
